source,target,weight
star,dust,1
dust,laughs,1
laughs,eyes,1
eyes,princesses,1
princesses,ohhh,1
ohhh,ice,1
princesses,back,1
back,slime,1
finn,slime,2
princess,thing,1
thing,choosing,1
choosing,finn,1
princess,ooooh,1
ooooh,finn,1
jake,slime,1
finn,pants,1
pants,time,1
time,princesses,1
princesses,ewww,1
ewww,!,1
!,slime,1
heh,grunts,1
grunts,adventure,1
adventure,time,1
time,logo,1
logo,episode,1
